"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.spr.JMHBenchmarks.CssDbTestBench.benchmarkDbPushRemoveA","thrpt",10,3,61.934981,166.830428,"ops/s"
"org.spr.JMHBenchmarks.CssDbTestBench.benchmarkDbPushRemoveB","thrpt",20,3,61.926660,18.745619,"ops/s"
"org.spr.JMHBenchmarks.CssDbTestBench.benchmarkDbPushRemoveC","thrpt",50,3,66.172780,18.004213,"ops/s"
"org.spr.JMHBenchmarks.CssDbTestBench.benchmarkDbPushRemoveD","thrpt",100,3,64.589234,45.020019,"ops/s"
