"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.spr.JMHBenchmarks.DBTestBench.benchmarkDbGetAllA","thrpt",10,3,386.294643,63.403808,"ops/s"
"org.spr.JMHBenchmarks.DBTestBench.benchmarkDbGetAllB","thrpt",20,3,497.303454,380.998772,"ops/s"
"org.spr.JMHBenchmarks.DBTestBench.benchmarkDbGetAllC","thrpt",50,3,547.753452,419.063985,"ops/s"
"org.spr.JMHBenchmarks.DBTestBench.benchmarkDbGetAllD","thrpt",100,3,452.166123,148.463445,"ops/s"
